Date,Precipitation
06-10-2023,0
07-10-2023,0
08-10-2023,0
09-10-2023,0
10-10-2023,0.1
11-10-2023,0
12-10-2023,0
13-10-2023,0
14-10-2023,0
15-10-2023,0.4
16-10-2023,3.8
17-10-2023,0
18-10-2023,0
19-10-2023,0
20-10-2023,0
21-10-2023,0
22-10-2023,0
23-10-2023,0
24-10-2023,0
25-10-2023,0
26-10-2023,0
27-10-2023,0
28-10-2023,0
29-10-2023,0
30-10-2023,0
31-10-2023,0
01-11-2023,0
02-11-2023,0
03-11-2023,0.2
04-11-2023,0
05-11-2023,0
06-11-2023,0
07-11-2023,0
08-11-2023,0
09-11-2023,0
10-11-2023,6.1
11-11-2023,2
12-11-2023,0
13-11-2023,0
14-11-2023,0
15-11-2023,0
16-11-2023,0
17-11-2023,0
18-11-2023,0
19-11-2023,0
20-11-2023,0
21-11-2023,0
22-11-2023,0
23-11-2023,0
24-11-2023,0
25-11-2023,0
26-11-2023,0
27-11-2023,0.9
28-11-2023,1.2
29-11-2023,0
30-11-2023,0
01-12-2023,0
02-12-2023,0
03-12-2023,0
04-12-2023,2.6
05-12-2023,3
06-12-2023,0
07-12-2023,0
08-12-2023,0
09-12-2023,0
10-12-2023,0
11-12-2023,0
12-12-2023,0.5
13-12-2023,0
14-12-2023,0
15-12-2023,0
16-12-2023,0
17-12-2023,0
18-12-2023,0
19-12-2023,0
20-12-2023,0
21-12-2023,0
22-12-2023,10.9
23-12-2023,14
24-12-2023,0.8
25-12-2023,10.9
26-12-2023,2
27-12-2023,0
28-12-2023,0
29-12-2023,0
30-12-2023,0
31-12-2023,0
01-01-2024,0
02-01-2024,0
03-01-2024,0
04-01-2024,0
05-01-2024,0
06-01-2024,0
07-01-2024,0
08-01-2024,0
09-01-2024,0
10-01-2024,0
11-01-2024,0
12-01-2024,0
13-01-2024,0
14-01-2024,0
15-01-2024,0
16-01-2024,0
17-01-2024,0
18-01-2024,0
19-01-2024,0
20-01-2024,0
21-01-2024,0
22-01-2024,0
23-01-2024,0
24-01-2024,0
25-01-2024,0
26-01-2024,0.3
27-01-2024,0
28-01-2024,0
29-01-2024,0
30-01-2024,0
31-01-2024,11.5
01-02-2024,9.9
02-02-2024,15
03-02-2024,0
04-02-2024,4.1
05-02-2024,22.1
06-02-2024,0.8
07-02-2024,0
08-02-2024,0
09-02-2024,0
10-02-2024,0
11-02-2024,0
12-02-2024,0
13-02-2024,0
14-02-2024,0
15-02-2024,0
16-02-2024,0
17-02-2024,0
18-02-2024,0
19-02-2024,12.2
20-02-2024,16
21-02-2024,0
22-02-2024,0.8
23-02-2024,0
24-02-2024,1.2
25-02-2024,0
26-02-2024,0
27-02-2024,0
28-02-2024,0.5
29-02-2024,0
01-03-2024,6.1
02-03-2024,36.8
03-03-2024,58.9
04-03-2024,27.9
05-03-2024,0
06-03-2024,0.4
07-03-2024,0
08-03-2024,0
09-03-2024,0
10-03-2024,0
11-03-2024,0
12-03-2024,0
13-03-2024,2.1
14-03-2024,0
15-03-2024,0
16-03-2024,0
17-03-2024,0
18-03-2024,0
19-03-2024,0
20-03-2024,1
21-03-2024,0
22-03-2024,0.5
23-03-2024,0
24-03-2024,0
25-03-2024,0
26-03-2024,0
27-03-2024,0
28-03-2024,0
29-03-2024,0
30-03-2024,6.3
31-03-2024,0
01-04-2024,0
02-04-2024,0
03-04-2024,0
04-04-2024,0
05-04-2024,0
06-04-2024,0
07-04-2024,0
08-04-2024,0.7
09-04-2024,0
10-04-2024,0
11-04-2024,0.6
12-04-2024,0
13-04-2024,0
14-04-2024,0
15-04-2024,0.5
16-04-2024,0
17-04-2024,0
18-04-2024,0
19-04-2024,2
20-04-2024,4.1
21-04-2024,0
22-04-2024,0.7
23-04-2024,0.8
24-04-2024,0
25-04-2024,0
26-04-2024,0
27-04-2024,0.5
28-04-2024,5.1
29-04-2024,0
30-04-2024,0
01-05-2024,0.1
02-05-2024,0
03-05-2024,0
04-05-2024,1.4
05-05-2024,0
06-05-2024,0
07-05-2024,0
08-05-2024,0.5
09-05-2024,0
10-05-2024,1
11-05-2024,3
12-05-2024,9.9
13-05-2024,3
14-05-2024,0
15-05-2024,0
16-05-2024,2
17-05-2024,0
18-05-2024,0
19-05-2024,3
20-05-2024,3
21-05-2024,4.1
22-05-2024,0
23-05-2024,0
24-05-2024,0.7
25-05-2024,0.5
26-05-2024,0
27-05-2024,0
28-05-2024,0
29-05-2024,0
30-05-2024,0
31-05-2024,11.9
01-06-2024,0
02-06-2024,0
03-06-2024,0.3
04-06-2024,4.1
05-06-2024,0
06-06-2024,11.9
07-06-2024,0
08-06-2024,0
09-06-2024,0
10-06-2024,0
11-06-2024,0
12-06-2024,0
13-06-2024,0
14-06-2024,0
15-06-2024,0
16-06-2024,0
17-06-2024,0
18-06-2024,0
19-06-2024,0
20-06-2024,17
21-06-2024,0.5
22-06-2024,0.3
23-06-2024,0
24-06-2024,0.6
25-06-2024,1
26-06-2024,21.9
27-06-2024,2
28-06-2024,0
29-06-2024,13.9
30-06-2024,3.3
01-07-2024,6.6
02-07-2024,8.4
03-07-2024,0
04-07-2024,6.1
05-07-2024,8.9
06-07-2024,55.1
07-07-2024,50
08-07-2024,16
09-07-2024,0
10-07-2024,1.9
11-07-2024,2.9
12-07-2024,4.1
13-07-2024,1
14-07-2024,0.6
15-07-2024,0.5
16-07-2024,37.1
17-07-2024,2
18-07-2024,0
19-07-2024,16.2
20-07-2024,5.5
21-07-2024,5.4
22-07-2024,5.1
23-07-2024,19.1
24-07-2024,0
25-07-2024,2
26-07-2024,2
27-07-2024,35.1
28-07-2024,0.5
29-07-2024,5.1
30-07-2024,6.1
31-07-2024,0
01-08-2024,46
02-08-2024,0
03-08-2024,6.1
04-08-2024,0
05-08-2024,20.1
06-08-2024,0
07-08-2024,3
08-08-2024,3
09-08-2024,21.1
10-08-2024,25.9
11-08-2024,1
12-08-2024,6.1
13-08-2024,0.5
14-08-2024,0
15-08-2024,0.8
16-08-2024,0
17-08-2024,5.6
18-08-2024,3.3
19-08-2024,51.7
20-08-2024,59
21-08-2024,7.1
22-08-2024,0
23-08-2024,2
24-08-2024,8.9
25-08-2024,17
26-08-2024,3
27-08-2024,22.1
28-08-2024,3
29-08-2024,27.9
30-08-2024,5.1
31-08-2024,0
01-09-2024,15.81573678
02-09-2024,20.1
03-09-2024,2
04-09-2024,7.9
05-09-2024,1
06-09-2024,0
07-09-2024,0.3
08-09-2024,0.5
09-09-2024,0
10-09-2024,0.5
11-09-2024,19.1
12-09-2024,7.1
13-09-2024,32.9
14-09-2024,25.9
15-09-2024,0.5
16-09-2024,0
17-09-2024,0.8
18-09-2024,26.9
19-09-2024,4.1
20-09-2024,0
21-09-2024,1.6
22-09-2024,0.1
23-09-2024,0
24-09-2024,2
25-09-2024,6.1
26-09-2024,14
27-09-2024,0.5
28-09-2024,0
29-09-2024,1.8
30-09-2024,0
01-10-2024,0
02-10-2024,0
03-10-2024,0
04-10-2024,0
05-10-2024,0.1
06-10-2024,0
07-10-2024,0
08-10-2024,0.3
09-10-2024,0
10-10-2024,0
11-10-2024,0
12-10-2024,0
13-10-2024,0
14-10-2024,0
15-10-2024,0
16-10-2024,0
17-10-2024,0.6
18-10-2024,0.2
19-10-2024,0
20-10-2024,0
21-10-2024,0.1
22-10-2024,0.3
23-10-2024,0
24-10-2024,0
25-10-2024,0
26-10-2024,0
27-10-2024,0
28-10-2024,0
29-10-2024,0
30-10-2024,0
31-10-2024,0
01-11-2024,0
02-11-2024,0
03-11-2024,0
04-11-2024,0
05-11-2024,0
06-11-2024,0
07-11-2024,0
08-11-2024,0
09-11-2024,0
10-11-2024,0
11-11-2024,0.1
12-11-2024,0
13-11-2024,0
14-11-2024,0
15-11-2024,0
16-11-2024,0
17-11-2024,0
18-11-2024,0
19-11-2024,0
20-11-2024,0
21-11-2024,0
22-11-2024,0
23-11-2024,2.1
24-11-2024,0
25-11-2024,0
26-11-2024,0
27-11-2024,0
28-11-2024,0
29-11-2024,0
30-11-2024,0
01-12-2024,0
02-12-2024,0
03-12-2024,0
